Timestamp,SrcIp,DestIp,L4Protocol,totalFlow
"2023-09-14T04:45:00Z","198.235.24.56","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","207.90.244.13","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","198.235.24.143","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","64.62.197.62","10.0.0.6",UDP,1
"2023-09-14T04:45:00Z","202.139.199.93","10.0.0.6",UDP,1
"2023-09-14T04:45:00Z","65.49.1.88","10.0.0.6",UDP,1
"2023-09-14T04:45:00Z","205.210.31.71","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","71.6.167.142","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","162.216.149.172","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","192.241.222.7","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","198.235.24.143","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","185.47.172.136","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","64.62.197.31","10.0.0.6",UDP,1
"2023-09-14T04:45:00Z","45.79.109.130","10.0.0.6",TCP,3
"2023-09-14T04:45:00Z","45.79.109.236","10.0.0.6",TCP,2
"2023-09-14T04:45:00Z","45.79.153.72","10.0.0.6",TCP,3
"2023-09-14T04:45:00Z","45.95.146.122","10.0.0.6",TCP,2
"2023-09-14T04:45:00Z","92.63.197.110","10.0.0.6",TCP,8
"2023-09-14T04:45:00Z","94.102.61.2","10.0.0.6",TCP,8
"2023-09-14T04:45:00Z","162.216.150.239","10.0.0.6",TCP,5
"2023-09-14T04:45:00Z","45.79.109.236","10.0.0.4",TCP,2
"2023-09-14T04:45:00Z","162.216.149.129","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","79.124.62.86","10.0.0.4",TCP,7
"2023-09-14T04:45:00Z","84.54.51.121","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","183.136.225.5","10.0.0.4",TCP,7
"2023-09-14T04:45:00Z",,"10.0.0.6",TCP,65224
"2023-09-14T04:45:00Z",,"10.0.0.6",UDP,111
"2023-09-14T04:45:00Z",,"10.0.0.4",TCP,9200
"2023-09-14T04:45:00Z","162.216.149.172","10.0.0.6",TCP,3
"2023-09-14T04:45:00Z","71.6.232.27","10.0.0.6",UDP,1
"2023-09-14T04:45:00Z","205.210.31.202","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","198.235.24.95","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","162.216.149.150","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","81.17.18.98","10.0.0.4",TCP,3
"2023-09-14T04:45:00Z","79.124.58.130","10.0.0.4",TCP,4
"2023-09-14T04:45:00Z","45.147.250.233","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","45.79.186.176","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","79.124.62.86","10.0.0.6",TCP,14
"2023-09-14T04:45:00Z","89.248.165.99","10.0.0.6",TCP,3
"2023-09-14T04:45:00Z","143.42.1.84","10.0.0.6",TCP,1
